Student,GPA,SAT,Activities
Sherwood Shutter,2.8,1250,7
Kindra Capozzoli,2.98,1170,6
Cinthia Arden,2.8,1100,5
Adele Bergfeld,2.76,1155,7
Kaitlin Helt,2.78,1160,6
Keena Disney,2.87,1190,8
Gabriella Kono,2.97,1170,7
Brandon Kimber,3.0,1250,8
Gordon Elmore,2.95,1160,6
Ellyn Rizo,2.75,1140,5
France Steinfeldt,2.7,1150,5
Galen Tyson,2.85,1200,5
Jacob Waybright,3.0,1240,6
Shanelle Venne,2.9,1130,5
Racquel Ange,3.0,1130,7
Jayson Raber,2.95,1200,5
Joanie Croswell,3.0,1190,5
Shannen Quintana,2.9,1110,5
Miriam Raymond,3.0,1110,7
Katy Serrano,3.0,1120,8
Philip Holder,2.7,1240,5
Kennedy Mcgee,2.7,1220,6
Arnas Wharton,2.7,1250,7
Floyd Russell,2.88,1100,5
Matylda Wood,2.89,1110,5
Finley Griffin,3.0,1110,6
Taio Byers,2.88,1130,5
Alex Bain,2.71,1140,6
